parameter,value,well_id,carbon,strain
max df,0.01051661198122244,27,apromycin,delta
lag time std,1.2948585838343714,27,apromycin,delta
lag time,364.5640860223976,27,apromycin,delta
max y stderr,0.00023710112464249406,27,apromycin,delta
max y std,0.0023710112464249405,27,apromycin,delta
max y,0.31232379544753947,27,apromycin,delta
inverse max df stderr,0.04026122916396734,27,apromycin,delta
lag time stderr,0.12948585838343712,27,apromycin,delta
inverse max df,65.91220310334849,27,apromycin,delta
time of max df stderr,0.4897999591670053,27,apromycin,delta
time of max df std,4.897999591670053,27,apromycin,delta
time of max df,485.8066666666668,27,apromycin,delta
max df stderr,6.429289354413883e-06,27,apromycin,delta
max df std,6.429289354413883e-05,27,apromycin,delta
inverse max df std,0.40261229163967344,27,apromycin,delta
lag time,359.94982171732806,63,apromycin,delta
max y stderr,0.00021228094905764586,63,apromycin,delta
max y std,0.0021228094905764586,63,apromycin,delta
max y,0.31695949934869955,63,apromycin,delta
inverse max df stderr,0.029996363152764077,63,apromycin,delta
inverse max df std,0.2999636315276408,63,apromycin,delta
time of max df,469.70666666666676,63,apromycin,delta
time of max df stderr,0.5563128616165547,63,apromycin,delta
time of max df std,5.563128616165547,63,apromycin,delta
max df stderr,4.806457611790491e-06,63,apromycin,delta
max df std,4.8064576117904914e-05,63,apromycin,delta
max df,0.01053111359941435,63,apromycin,delta
lag time std,0.850037436609711,63,apromycin,delta
inverse max df,65.82035141328315,63,apromycin,delta
lag time stderr,0.0850037436609711,63,apromycin,delta
