parameter,value,well_id,carbon,strain
max df,0.010888359409441217,39,rifampicin,delta
lag time std,1.0829559935080297,39,rifampicin,delta
lag time,325.91874818530886,39,rifampicin,delta
max y stderr,0.00011687457487582233,39,rifampicin,delta
max y std,0.0011687457487582233,39,rifampicin,delta
max y,0.25241416231124325,39,rifampicin,delta
inverse max df stderr,0.03248235018013366,39,rifampicin,delta
lag time stderr,0.10829559935080298,39,rifampicin,delta
inverse max df,63.66112518382529,39,rifampicin,delta
time of max df stderr,0.35693136595149494,39,rifampicin,delta
time of max df std,3.5693136595149495,39,rifampicin,delta
time of max df,500.3666666666668,39,rifampicin,delta
max df stderr,5.551132244932923e-06,39,rifampicin,delta
max df std,5.5511322449329225e-05,39,rifampicin,delta
inverse max df std,0.32482350180133657,39,rifampicin,delta
lag time,316.05025567800175,75,rifampicin,delta
max y stderr,0.00018181896993854966,75,rifampicin,delta
max y std,0.0018181896993854966,75,rifampicin,delta
max y,0.26056797501185675,75,rifampicin,delta
inverse max df stderr,0.04293506153586672,75,rifampicin,delta
inverse max df std,0.4293506153586672,75,rifampicin,delta
time of max df,479.1566666666668,75,rifampicin,delta
time of max df stderr,0.4112164879962865,75,rifampicin,delta
time of max df std,4.112164879962865,75,rifampicin,delta
max df stderr,7.650439232301444e-06,75,rifampicin,delta
max df std,7.650439232301445e-05,75,rifampicin,delta
max df,0.01112097756062028,75,rifampicin,delta
lag time std,1.2743590759972268,75,rifampicin,delta
inverse max df,62.33085379970374,75,rifampicin,delta
lag time stderr,0.12743590759972268,75,rifampicin,delta
